uniprot_acc	uniprot_name	seq_len	uniprot_description	uniprot_organism	seq_mw
Q6T4R5	NHS	1651	Nance-Horan syndrome protein	HUMAN	208862.019999999
Q6TCH4	PAQR6	344	Membrane progestin receptor delta	HUMAN	44169.14
Q6TCH7	PAQR3	311	Progestin and adipoQ receptor family member 3	HUMAN	41801.83
Q6TDP4	KLHL17	642	Kelch-like protein 17	HUMAN	81423.0399999999
Q6TDU7	CASC1	716	Protein CASC1	HUMAN	96042.2099999998
Q6TFL3	CCDC171	1326	Coiled-coil domain-containing protein 171	HUMAN	176682.609999999
Q6TFL4	KLHL24	600	Kelch-like protein 24	HUMAN	79153.36
Q6TGC4	PADI6	694	Protein-arginine deiminase type-6	HUMAN	90213.2799999999
Q6U736	OPN5	354	Opsin-5	HUMAN	46086.98
Q6U7Q0	ZNF322	402	Zinc finger protein 322	HUMAN	54165.35
Q6U841	SLC4A10	1118	Sodium-driven chloride bicarbonate exchanger	HUMAN	146071.249999999
Q6U949	IGF2-AS	168	Putative insulin-like growth factor 2 antisense gene protein	HUMAN	21043.93
Q6UB28	METAP1D	335	Methionine aminopeptidase 1D, mitochondrial	HUMAN	43105.62
Q6UB35	MTHFD1L	978	Monofunctional C1-tetrahydrofolate synthase, mitochondrial	HUMAN	123392.92
Q6UB98	ANKRD12	2062	Ankyrin repeat domain-containing protein 12	HUMAN	272783.449999999
Q6UB99	ANKRD11	2663	Ankyrin repeat domain-containing protein 11	HUMAN	345873.410000001
Q6UDR6	SPINT4	99	Kunitz-type protease inhibitor 4	HUMAN	13187.13
Q6UE05	TMEM270	265	Transmembrane protein 270	HUMAN	34189.18
Q6ULP2	AFTPH	936	Aftiphilin	HUMAN	118958.48
Q6UN15	FIP1L1	594	Pre-mRNA 3'-end-processing factor FIP1	HUMAN	77209.8999999999
Q6UQ28	PLET1	207	Placenta-expressed transcript 1 protein	HUMAN	27096.49
Q6URK8	TEPP	271	Testis, prostate and placenta-expressed protein	HUMAN	35581.96
Q6UUV7	CRTC3	619	CREB-regulated transcription coactivator 3	HUMAN	78093.4199999998
Q6UUV9	CRTC1	634	CREB-regulated transcription coactivator 1	HUMAN	78704.2599999997
Q6UVJ0	SASS6	657	Spindle assembly abnormal protein 6 homolog	HUMAN	86215.91
Q6UVK1	CSPG4	2322	Chondroitin sulfate proteoglycan 4	HUMAN	292354.3
Q6UVM3	KCNT2	1135	Potassium channel subfamily T member 2	HUMAN	150932.34
Q6UVW9	CLEC2A	174	C-type lectin domain family 2 member A	HUMAN	23089.1
Q6UVY6	MOXD1	613	DBH-like monooxygenase protein 1	HUMAN	80678.8799999999
Q6UW01	CBLN3	205	Cerebellin-3	HUMAN	25196.06
Q6UW02	CYP20A1	462	Cytochrome P450 20A1	HUMAN	60738.1400000001
Q6UW10	SFTA2	78	Surfactant-associated protein 2	HUMAN	9783.11
Q6UW15	REG3G	175	Regenerating islet-derived protein 3-gamma	HUMAN	22465.04
Q6UW32	IGFL1	110	Insulin growth factor-like family member 1	HUMAN	14326.42
Q6UW49	SPESP1	350	Sperm equatorial segment protein 1	HUMAN	45218.8200000001
Q6UW56	ATRAID	229	All-trans retinoic acid-induced differentiation factor	HUMAN	28854.63
Q6UW60	PCSK4	755	Proprotein convertase subtilisin/kexin type 4	HUMAN	96379.73
Q6UW63	POGLUT2	502	Protein O-glucosyltransferase 2	HUMAN	67069.0300000001
Q6UW68	TMEM205	189	Transmembrane protein 205	HUMAN	24585.02
Q6UW78	UQCC3	93	Ubiquinol-cytochrome-c reductase complex assembly factor 3	HUMAN	11738.26
Q6UW88	EPGN	154	Epigen	HUMAN	19847.45
Q6UWB1	IL27RA	636	Interleukin-27 receptor subunit alpha	HUMAN	80914.53
Q6UWB4	PRSS55	352	Serine protease 55	HUMAN	45179.91
Q6UWD8	C16orf54	224	Transmembrane protein C16orf54	HUMAN	28377.38
Q6UWE0	LRSAM1	723	E3 ubiquitin-protein ligase LRSAM1	HUMAN	96602.2399999998
Q6UWE3	CLPSL2	100	Colipase-like protein 2	HUMAN	12595.79
Q6UWF3	SCIMP	145	SLP adapter and CSK-interacting membrane protein	HUMAN	19212.44
Q6UWF5	UNQ5815/PRO19632	114	Putative uncharacterized protein UNQ5815/PRO19632	HUMAN	14922.13
Q6UWF7	NXPE4	544	NXPE family member 4	HUMAN	72046.1
Q6UWF9	FAM180A	173	Protein FAM180A	HUMAN	22831.79
Q6UWH4	GASK1B	519	Golgi-associated kinase 1B	HUMAN	66884.9900000001
Q6UWH6	TEX261	196	Protein TEX261	HUMAN	26051
Q6UWI2	PARM1	310	Prostate androgen-regulated mucin-like protein 1	HUMAN	37855.57
Q6UWI4	SHISA2	295	Protein shisa-2 homolog	HUMAN	36672.36
Q6UWJ1	TMCO3	677	Transmembrane and coiled-coil domain-containing protein 3	HUMAN	87777.4199999998
Q6UWJ8	CD164L2	174	CD164 sialomucin-like 2 protein	HUMAN	21520.21
Q6UWK7	GPR15L	81	Protein GPR15L	HUMAN	10614.41
Q6UWL2	SUSD1	747	Sushi domain-containing protein 1	HUMAN	96150.3299999999
Q6UWL6	KIRREL2	708	Kin of IRRE-like protein 2	HUMAN	87830
Q6UWM5	GLIPR1L1	242	GLIPR1-like protein 1	HUMAN	31493.53
Q6UWM7	LCTL	567	Lactase-like protein	HUMAN	75285.9299999999
Q6UWM9	UGT2A3	527	UDP-glucuronosyltransferase 2A3	HUMAN	69731.3700000001
Q6UWN0	LYPD4	246	Ly6/PLAUR domain-containing protein 4	HUMAN	31177.27
Q6UWN5	LYPD5	251	Ly6/PLAUR domain-containing protein 5	HUMAN	31440.3
Q6UWN8	SPINK6	80	Serine protease inhibitor Kazal-type 6	HUMAN	10008.38
Q6UWP2	DHRS11	260	Dehydrogenase/reductase SDR family member 11	HUMAN	32974.8
Q6UWP7	LCLAT1	414	Lysocardiolipin acyltransferase 1	HUMAN	56361.15
Q6UWP8	SBSN	590	Suprabasin	HUMAN	71153.27
Q6UWQ5	LYZL1	148	Lysozyme-like protein 1	HUMAN	19302.69
Q6UWQ7	IGFL2	119	Insulin growth factor-like family member 2	HUMAN	15374.45
Q6UWR7	ENPP6	440	Glycerophosphocholine cholinephosphodiesterase ENPP6	HUMAN	58150.48
Q6UWS5	PET117	81	Protein PET117 homolog, mitochondrial	HUMAN	10664.16
Q6UWT2	ENHO	76	Adropin	HUMAN	9278.47
Q6UWT4	C5orf46	87	Uncharacterized protein C5orf46	HUMAN	11242.55
Q6UWU2	GLB1L	654	Beta-galactosidase-1-like protein	HUMAN	85923.0799999999
Q6UWU4	C6orf89	347	Bombesin receptor-activated protein C6orf89	HUMAN	46104.21
Q6UWV2	MPZL3	235	Myelin protein zero-like protein 3	HUMAN	30204.63
Q6UWV6	ENPP7	458	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7	HUMAN	59727.51
Q6UWV7	SHISAL2A	190	Protein shisa-like-2A	HUMAN	23711.37
Q6UWW0	LCN15	184	Lipocalin-15	HUMAN	23751.59
Q6UWW8	CES3	571	Carboxylesterase 3	HUMAN	72551.7099999999
Q6UWW9	TMEM207	146	Transmembrane protein 207	HUMAN	18728.36
Q6UWX4	HHIPL2	724	HHIP-like protein 2	HUMAN	93805.6400000001
Q6UWY0	ARSK	536	Arylsulfatase K	HUMAN	71089.43
Q6UWY2	PRSS57	283	Serine protease 57	HUMAN	35414.69
Q6UWY5	OLFML1	402	Olfactomedin-like protein 1	HUMAN	53175.72
Q6UWZ7	ABRAXAS1	409	BRCA1-A complex subunit Abraxas 1	HUMAN	54013.57
Q6UX01	LMBR1L	489	Protein LMBR1L	HUMAN	64001.82
Q6UX04	CWC27	472	Spliceosome-associated protein CWC27 homolog	HUMAN	62332.96
Q6UX06	OLFM4	510	Olfactomedin-4	HUMAN	66450.2900000002
Q6UX07	DHRS13	377	Dehydrogenase/reductase SDR family member 13	HUMAN	47623.3199999999
Q6UX15	LAYN	382	Layilin	HUMAN	49972.83
Q6UX27	VSTM1	236	V-set and transmembrane domain-containing protein 1	HUMAN	30342.97
Q6UX34	SNORC	121	Protein SNORC	HUMAN	14235
Q6UX39	AMTN	209	Amelotin	HUMAN	25335.16
Q6UX40	TMEM107	140	Transmembrane protein 107	HUMAN	18007.6
Q6UX41	BTNL8	500	Butyrophilin-like protein 8	HUMAN	65738.0300000001
Q6UX46	ALKAL2	152	ALK and LTK ligand 2	HUMAN	19635.42
Q6UX52	C17orf99	265	Protein IL-40	HUMAN	33847.81
Q6UX53	METTL7B	244	Methyltransferase-like protein 7B	HUMAN	32152.93
Q6UX65	DRAM2	266	DNA damage-regulated autophagy modulator protein 2	HUMAN	34540.54
Q6UX68	XKR5	686	XK-related protein 5	HUMAN	87355.27
Q6UX71	PLXDC2	529	Plexin domain-containing protein 2	HUMAN	69096.0800000001
Q6UX72	B3GNT9	402	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9	HUMAN	50976.2
Q6UX73	C16orf89	402	UPF0764 protein C16orf89	HUMAN	52616.07
Q6UX82	LYPD8	237	Ly6/PLAUR domain-containing protein 8	HUMAN	29516.53
Q6UX98	ZDHHC24	284	Probable palmitoyltransferase ZDHHC24	HUMAN	35274.73
Q6UXA7	C6orf15	325	Uncharacterized protein C6orf15	HUMAN	40032.73
Q6UXB0	FAM131A	366	Protein FAM131A	HUMAN	46079.0399999999
Q6UXB1	IGFL3	125	Insulin growth factor-like family member 3	HUMAN	16431.87
Q6UXB2	CXCL17	119	C-X-C motif chemokine 17	HUMAN	15945.35
Q6UXB3	LYPD2	125	Ly6/PLAUR domain-containing protein 2	HUMAN	15349.5
Q6UXB4	CLEC4G	293	C-type lectin domain family 4 member G	HUMAN	37822.69
Q6UXB8	PI16	463	Peptidase inhibitor 16	HUMAN	57794.8399999999
Q6UXC1	MAMDC4	1216	Apical endosomal glycoprotein	HUMAN	153389.6
Q6UXD1	HRCT1	115	Histidine-rich carboxyl terminus protein 1	HUMAN	15237.12
Q6UXD5	SEZ6L2	910	Seizure 6-like protein 2	HUMAN	113937.34
Q6UXD7	SLC49A3	560	Solute carrier family 49 member A3	HUMAN	68498.7899999999
Q6UXE8	BTNL3	466	Butyrophilin-like protein 3	HUMAN	60628.4200000001
Q6UXF1	TMEM108	575	Transmembrane protein 108	HUMAN	70289.6399999999
Q6UXF7	CLEC18B	455	C-type lectin domain family 18 member B	HUMAN	58670.3300000001
Q6UXG2	ELAPOR1	1013	Endosome/lysosome-associated apoptosis and autophagy regulator 1	HUMAN	129614.46
Q6UXG3	CD300LG	332	CMRF35-like molecule 9	HUMAN	42023.48
Q6UXG8	BTNL9	535	Butyrophilin-like protein 9	HUMAN	69337.06
Q6UXH0	ANGPTL8	198	Angiopoietin-like protein 8	HUMAN	25654.85
Q6UXH1	CRELD2	353	Protein disulfide isomerase CRELD2	HUMAN	44533.65
Q6UXH8	CCBE1	406	Collagen and calcium-binding EGF domain-containing protein 1	HUMAN	51399.6299999999
Q6UXH9	PAMR1	720	Inactive serine protease PAMR1	HUMAN	93153.0999999999
Q6UXI7	VIT	678	Vitrin	HUMAN	86127.65
Q6UXI9	NPNT	565	Nephronectin	HUMAN	72068.5
Q6UXK2	ISLR2	745	Immunoglobulin superfamily containing leucine-rich repeat protein 2	HUMAN	92395.07
Q6UXK5	LRRN1	716	Leucine-rich repeat neuronal protein 1	HUMAN	93598.6399999998
Q6UXL0	IL20RB	311	Interleukin-20 receptor subunit beta	HUMAN	40661.07
Q6UXM1	LRIG3	1119	Leucine-rich repeats and immunoglobulin-like domains protein 3	HUMAN	143576.69
Q6UXN2	TREML4	200	Trem-like transcript 4 protein	HUMAN	25509.79
Q6UXN7	TOMM20L	152	TOMM20-like protein 1	HUMAN	20420.27
Q6UXN8	CLEC9A	241	C-type lectin domain family 9 member A	HUMAN	31648.11
Q6UXN9	WDR82	313	WD repeat-containing protein 82	HUMAN	40700.3
Q6UXP3	TMEM14EP	125	Transmembrane protein 14EP	HUMAN	15841.99
Q6UXP7	FAM151B	276	Protein FAM151B	HUMAN	36321.29
Q6UXP9	UNQ9370/PRO34162	181	Putative uncharacterized protein UNQ9370/PRO34162	HUMAN	23020.06
Q6UXQ4	C2orf66	117	Uncharacterized protein C2orf66	HUMAN	15411.09
Q6UXQ8	UNQ6190/PRO20217	127	Putative uncharacterized protein UNQ6190/PRO20217	HUMAN	15679.69
Q6UXR4	SERPINA13P	307	Putative serpin A13	HUMAN	40377.37
Q6UXR6	UNQ6494/PRO21346	183	Putative uncharacterized protein UNQ6494/PRO21346	HUMAN	22808.96
Q6UXR8	UNQ6493/PRO21345	122	Putative uncharacterized protein UNQ6493/PRO21345	HUMAN	14973.76
Q6UXS0	CLEC19A	136	C-type lectin domain family 19 member A	HUMAN	17880.03
Q6UXS9	CASP12	341	Inactive caspase-12	HUMAN	45032.73
Q6UXT8	ALKAL1	129	ALK and LTK ligand 1	HUMAN	16574.73
Q6UXT9	ABHD15	468	Protein ABHD15	HUMAN	60185.11
Q6UXU0	UNQ9165/PRO28630	137	Putative uncharacterized protein UNQ9165/PRO28630	HUMAN	16990.85
Q6UXU4	GSG1L	331	Germ cell-specific gene 1-like protein	HUMAN	42719.47
Q6UXU6	TMEM92	159	Transmembrane protein 92	HUMAN	20075.92
Q6UXV0	GFRAL	394	GDNF family receptor alpha-like	HUMAN	51599.0900000001
Q6UXV1	IZUMO2	221	Izumo sperm-egg fusion protein 2	HUMAN	28819.43
Q6UXV3	UNQ6126/PRO20091	157	Uncharacterized protein UNQ6126/PRO20091	HUMAN	19693.87
Q6UXV4	APOOL	268	MICOS complex subunit MIC27	HUMAN	33969.39
Q6UXX5	ITIH6	1313	Inter-alpha-trypsin inhibitor heavy chain H6	HUMAN	166825.07
Q6UXX9	RSPO2	243	R-spondin-2	HUMAN	32674.79
Q6UXY1	BAIAP2L2	529	Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 2	HUMAN	68499.1999999997
Q6UXY8	TMC5	1006	Transmembrane channel-like protein 5	HUMAN	132903.649999999
Q6UXZ0	TMIGD1	262	Transmembrane and immunoglobulin domain-containing protein 1	HUMAN	33887.17
Q6UXZ3	CD300LD	194	CMRF35-like molecule 5	HUMAN	25034.93
Q6UXZ4	UNC5D	953	Netrin receptor UNC5D	HUMAN	123031.73
Q6UY01	LRRC31	552	Leucine-rich repeat-containing protein 31	HUMAN	71416.4200000001
Q6UY09	CEACAM20	596	Carcinoembryonic antigen-related cell adhesion molecule 20	HUMAN	76527.4499999999
Q6UY11	DLK2	383	Protein delta homolog 2	HUMAN	47430.32
Q6UY13	UNQ5830/PRO19650/PRO19816	95	Putative uncharacterized protein UNQ5830/PRO19650/PRO19816	HUMAN	12428.11
Q6UY14	ADAMTSL4	1074	ADAMTS-like protein 4	HUMAN	135876.68
Q6UY18	LINGO4	593	Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 4	HUMAN	74440.48
Q6UY27	PATE2	113	Prostate and testis expressed protein 2	HUMAN	15033.27
Q6UYE1	DLEU7	221	Leukemia-associated protein 7	HUMAN	27887.96
Q6V0I7	FAT4	4981	Protocadherin Fat 4	HUMAN	632410.629999995
Q6V0L0	CYP26C1	522	Cytochrome P450 26C1	HUMAN	66497.9599999999
Q6V1P9	DCHS2	3371	Protocadherin-23	HUMAN	430945.44
Q6V1X1	DPP8	898	Dipeptidyl peptidase 8	HUMAN	119519.51
Q6V702	CFAP299	233	Cilia- and flagella-associated protein 299	HUMAN	31049.02
Q6V9R5	ZNF562	426	Zinc finger protein 562	HUMAN	56220.0300000001
Q6VAB6	KSR2	950	Kinase suppressor of Ras 2	HUMAN	124730.07
Q6VB84	FOXD4L3	417	Forkhead box protein D4-like 3	HUMAN	53315.4199999999
Q6VEQ5	WASH2P	465	WAS protein family homolog 2	HUMAN	58671.8199999999
Q6VMQ6	ATF7IP	1270	Activating transcription factor 7-interacting protein 1	HUMAN	159256.729999999
Q6VN20	RANBP10	620	Ran-binding protein 10	HUMAN	78409.0099999998
Q6VUC0	TFAP2E	442	Transcription factor AP-2-epsilon	HUMAN	54157.73
Q6VVB1	NHLRC1	395	E3 ubiquitin-protein ligase NHLRC1	HUMAN	49391.5200000001
Q6VVX0	CYP2R1	501	Vitamin D 25-hydroxylase	HUMAN	66367.74
Q6VY07	PACS1	963	Phosphofurin acidic cluster sorting protein 1	HUMAN	122230.359999999
Q6W0C5	DPPA3	159	Developmental pluripotency-associated protein 3	HUMAN	20697.69
Q6W2J9	BCOR	1755	BCL-6 corepressor	HUMAN	223789.64
Q6W349	LINC00575	94	Putative uncharacterized protein encoded by LINC00575	HUMAN	11832.15
Q6W3E5	GDPD4	623	Glycerophosphodiester phosphodiesterase domain-containing protein 4	HUMAN	83202.3200000001
Q6W4X9	MUC6	2439	Mucin-6	HUMAN	300974.770000001
Q6W5P4	NPSR1	371	Neuropeptide S receptor	HUMAN	49352.94
Q6WBX8	RAD9B	426	Cell cycle checkpoint control protein RAD9B	HUMAN	55489.12
Q6WCQ1	MPRIP	1025	Myosin phosphatase Rho-interacting protein	HUMAN	134982.17
Q6WKZ4	RAB11FIP1	1283	Rab11 family-interacting protein 1	HUMAN	160264.3
Q6WN34	CHRDL2	429	Chordin-like protein 2	HUMAN	55205.7700000001
Q6WQI6	HEPN1	88	Putative cancer susceptibility gene HEPN1 protein	HUMAN	11872.28
Q6WRI0	IGSF10	2623	Immunoglobulin superfamily member 10	HUMAN	338077.54
Q6WRX3	ZYG11A	759	Protein zyg-11 homolog A	HUMAN	99465.2899999998
Q6X4T0	C12orf54	127	Uncharacterized protein C12orf54	HUMAN	16755.48
Q6X4U4	SOSTDC1	206	Sclerostin domain-containing protein 1	HUMAN	27000.06
Q6X4W1	NSMF	530	NMDA receptor synaptonuclear signaling and neuronal migration factor	HUMAN	69674
Q6X784	ZPBP2	338	Zona pellucida-binding protein 2	HUMAN	44724.0800000001
Q6X9E4	FBXW12	464	F-box/WD repeat-containing protein 12	HUMAN	61398.0600000001
Q6XCG6	PP632	107	Putative uncharacterized protein PP632	HUMAN	13364.39
Q6XD76	ASCL4	172	Achaete-scute homolog 4	HUMAN	22333.7
Q6XE24	RBMS3	437	RNA-binding motif, single-stranded-interacting protein 3	HUMAN	55695.28
Q6XE38	SCGB1D4	83	Secretoglobin family 1D member 4	HUMAN	10678.55
Q6XLA1	CASC2	102	Protein CASC2, isoform 3	HUMAN	13721.25
Q6XPR3	RPTN	784	Repetin	HUMAN	104838.19
Q6XPS3	TPTE2	522	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase TPTE2	HUMAN	70498.6200000002
Q6XQN6	NAPRT	538	Nicotinate phosphoribosyltransferase	HUMAN	67253.5099999999
Q6XR72	SLC30A10	485	Zinc transporter 10	HUMAN	61404.4000000001
Q6XUX3	DSTYK	929	Dual serine/threonine and tyrosine protein kinase	HUMAN	121925.52
Q6XXX2	LINC00114	140	Putative uncharacterized protein encoded by LINC00114	HUMAN	18256.92
Q6XYB7	LBX2	198	Transcription factor LBX2	HUMAN	25031.8
Q6XYQ8	SYT10	523	Synaptotagmin-10	HUMAN	68531.5200000001
Q6XZB0	LIPI	460	Lipase member I	HUMAN	61192.0700000001
Q6XZF7	DNMBP	1577	Dynamin-binding protein	HUMAN	205741.339999999
Q6Y1H2	HACD2	254	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2	HUMAN	32926.74
Q6Y288	B3GLCT	498	Beta-1,3-glucosyltransferase	HUMAN	65518.3100000001
Q6Y2X3	DNAJC14	702	DnaJ homolog subfamily C member 14	HUMAN	91198.5000000002
Q6Y7W6	GIGYF2	1299	GRB10-interacting GYF protein 2	HUMAN	173455.469999999
Q6YBV0	SLC36A4	504	Proton-coupled amino acid transporter 4	HUMAN	65219.7500000001
Q6YFQ2	COX6B2	88	Cytochrome c oxidase subunit 6B2	HUMAN	12096.39
Q6YHK3	CD109	1445	CD109 antigen	HUMAN	187705.269999999
Q6YHU6	THADA	1953	Thyroid adenoma-associated protein	HUMAN	254776.699999999
Q6YI46	TMEM64	380	Transmembrane protein 64	HUMAN	46493.31
Q6YL49	ENSG00000276565	198	Uncharacterized protein	HUMAN	25709.72
Q6YN16	HSDL2	418	Hydroxysteroid dehydrogenase-like protein 2	HUMAN	52907.96
Q6YP21	KYAT3	454	Kynurenine--oxoglutarate transaminase 3	HUMAN	59562.0300000001
Q6ZMB0	B3GNT6	384	Acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase	HUMAN	49648.56
Q6ZMB5	TMEM184A	413	Transmembrane protein 184A	HUMAN	53200.17
Q6ZMC9	SIGLEC15	328	Sialic acid-binding Ig-like lectin 15	HUMAN	41544.06
Q6ZMD2	SPNS3	512	Protein spinster homolog 3	HUMAN	63975.49
Q6ZMG9	CERS6	384	Ceramide synthase 6	HUMAN	51790.42
Q6ZMH5	SLC39A5	540	Zinc transporter ZIP5	HUMAN	66172.24
Q6ZMI0	PPP1R21	780	Protein phosphatase 1 regulatory subunit 21	HUMAN	102349.73
Q6ZMI3	GLDN	551	Gliomedin	HUMAN	68866.6400000001
Q6ZMJ2	SCARA5	495	Scavenger receptor class A member 5	HUMAN	62894.92
Q6ZMJ4	IL34	242	Interleukin-34	HUMAN	31823.69
Q6ZMK1	CYHR1	362	Cysteine and histidine-rich protein 1	HUMAN	47207.2100000001
Q6ZMM2	ADAMTSL5	481	ADAMTS-like protein 5	HUMAN	61841.67
Q6ZMN7	PDZRN4	1036	PDZ domain-containing RING finger protein 4	HUMAN	135750.44
Q6ZMN8	CCNI2	369	Cyclin-I2	HUMAN	47252.03
Q6ZMP0	THSD4	1018	Thrombospondin type-1 domain-containing protein 4	HUMAN	130772.94
Q6ZMQ8	AATK	1374	Serine/threonine-protein kinase LMTK1	HUMAN	169306.350000001
Q6ZMR3	LDHAL6A	332	L-lactate dehydrogenase A-like 6A	HUMAN	42471.02
Q6ZMR5	TMPRSS11A	421	Transmembrane protease serine 11A	HUMAN	55135.74
Q6ZMS4	ZNF852	543	Zinc finger protein 852	HUMAN	71848.8800000001
Q6ZMS7	ZNF783	281	Protein ZNF783	HUMAN	36467.22
Q6ZMT1	STAC2	411	SH3 and cysteine-rich domain-containing protein 2	HUMAN	52395.55
Q6ZMT4	KDM7A	941	Lysine-specific demethylase 7A	HUMAN	123492.5
Q6ZMT9	DTHD1	781	Death domain-containing protein 1	HUMAN	102381.91
Q6ZMU1	C3P1	363	Putative protein C3P1	HUMAN	46719.05
Q6ZMU5	TRIM72	477	Tripartite motif-containing protein 72	HUMAN	61306.79
Q6ZMV5	PPP4R3C	832	Protein PPP4R3C	HUMAN	110775.93
Q6ZMV7	LEKR1	388	Leucine-, glutamate- and lysine-rich protein 1	HUMAN	52130.6999999999
Q6ZMV8	ZNF730	503	Putative zinc finger protein 730	HUMAN	68084.2100000002
Q6ZMV9	KIF6	814	Kinesin-like protein KIF6	HUMAN	107217.04
Q6ZMW2	ZNF782	699	Zinc finger protein 782	HUMAN	93479.3400000002
Q6ZMW3	EML6	1958	Echinoderm microtubule-associated protein-like 6	HUMAN	253159.209999999
Q6ZMY3	SPOCD1	1216	SPOC domain-containing protein 1	HUMAN	151917.54
Q6ZMY6	WDR88	472	WD repeat-containing protein 88	HUMAN	61106.8700000001
Q6ZMY9	ZNF517	492	Zinc finger protein 517	HUMAN	63556.85
Q6ZMZ0	RNF19B	732	E3 ubiquitin-protein ligase RNF19B	HUMAN	91095.3700000001
Q6ZMZ3	SYNE3	975	Nesprin-3	HUMAN	129765.279999999
Q6ZN01	MAMSTR	415	MEF2-activating motif and SAP domain-containing transcriptional regulator	HUMAN	52091.0399999999
Q6ZN03	LINC00322	302	Putative uncharacterized protein encoded by LINC00322	HUMAN	37796.85
Q6ZN04	MEX3B	569	RNA-binding protein MEX3B	HUMAN	69065.5699999998
Q6ZN06	ZNF813	617	Zinc finger protein 813	HUMAN	82818.8400000003
Q6ZN08	ZNF66	573	Putative zinc finger protein 66	HUMAN	76179.4000000002
Q6ZN11	ZNF793	406	Zinc finger protein 793	HUMAN	54223.3900000001
Q6ZN16	MAP3K15	1313	Mitogen-activated protein kinase kinase kinase 15	HUMAN	171075.44
Q6ZN17	LIN28B	250	Protein lin-28 homolog B	HUMAN	31569.69
Q6ZN18	AEBP2	517	Zinc finger protein AEBP2	HUMAN	63763.0800000001
Q6ZN19	ZNF841	808	Zinc finger protein 841	HUMAN	107687.53
Q6ZN28	MACC1	852	Metastasis-associated in colon cancer protein 1	HUMAN	111971.71
Q6ZN30	BNC2	1099	Zinc finger protein basonuclin-2	HUMAN	142111.71
Q6ZN32	ETV3L	361	ETS translocation variant 3-like protein	HUMAN	46434.36
Q6ZN44	UNC5A	842	Netrin receptor UNC5A	HUMAN	108083.83
Q6ZN54	DEF8	512	Differentially expressed in FDCP 8 homolog	HUMAN	67916.99
Q6ZN55	ZNF574	896	Zinc finger protein 574	HUMAN	115025.19
Q6ZN57	ZFP2	461	Zinc finger protein 2 homolog	HUMAN	61027.7600000001
Q6ZN66	GBP6	633	Guanylate-binding protein 6	HUMAN	83813.51
Q6ZN68	DPY19L2P2	376	Putative C-mannosyltransferase DPY19L2P2	HUMAN	49816.4800000001
Q6ZN79	ZNF705A	300	Zinc finger protein 705A	HUMAN	40120.8
Q6ZN84	CCDC81	652	Coiled-coil domain-containing protein 81	HUMAN	87812.4499999999
Q6ZN92	Q6ZN92	141	Putative inactive deoxyuridine 5'-triphosphate nucleotidohydrolase-like protein FLJ16323	HUMAN	18014.5
Q6ZNA1	ZNF836	936	Zinc finger protein 836	HUMAN	124562.47
Q6ZNA4	RNF111	994	E3 ubiquitin-protein ligase Arkadia	HUMAN	126751.83
Q6ZNA5	FRRS1	592	Ferric-chelate reductase 1	HUMAN	76762.46
Q6ZNB5	Q6ZNB5	142	Putative short transient receptor potential channel 2-like protein	HUMAN	18303.35
Q6ZNB6	NFXL1	911	NF-X1-type zinc finger protein NFXL1	HUMAN	117734.85
Q6ZNB7	AGMO	445	Alkylglycerol monooxygenase	HUMAN	59499.2700000001
Q6ZNC4	ZNF704	412	Zinc finger protein 704	HUMAN	52680.8
Q6ZNC8	MBOAT1	495	Lysophospholipid acyltransferase 1	HUMAN	65457.7900000001
Q6ZNE5	ATG14	492	Beclin 1-associated autophagy-related key regulator	HUMAN	64155.52
Q6ZNE9	RUFY4	571	RUN and FYVE domain-containing protein 4	HUMAN	74619.5999999999
Q6ZNF0	ACP7	438	Acid phosphatase type 7	HUMAN	58352.94
Q6ZNG0	ZNF620	422	Zinc finger protein 620	HUMAN	56087.9000000001
Q6ZNG1	ZNF600	722	Zinc finger protein 600	HUMAN	96113.6300000003
Q6ZNG2	DBX2	339	Homeobox protein DBX2	HUMAN	42644.3499999999
Q6ZNG9	KRBA2	492	KRAB-A domain-containing protein 2	HUMAN	65051.08
Q6ZNH5	ZNF497	498	Zinc finger protein 497	HUMAN	63675.48
Q6ZNI0	GCNT7	430	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 7	HUMAN	57048.05
Q6ZNJ1	NBEAL2	2754	Neurobeachin-like protein 2	HUMAN	352117.610000001
Q6ZNK6	TIFAB	161	TRAF-interacting protein with FHA domain-containing protein B	HUMAN	20770.27
Q6ZNL6	FGD5	1462	FYVE, RhoGEF and PH domain-containing protein 5	HUMAN	186213.33
Q6ZNM6	TEX43	134	Testis-expressed protein 43	HUMAN	17848.08
Q6ZNQ3	LRRC69	347	Leucine-rich repeat-containing protein 69	HUMAN	45825.7300000001
Q6ZNR0	TMEM91	172	Transmembrane protein 91	HUMAN	21242.65
Q6ZNW5	GDPGP1	385	GDP-D-glucose phosphorylase 1	HUMAN	49281.06
